actual_answer,student_answer,score,feedback
"Thomas Edison invented the light bulb.","Nikola Tesla invented the light bulb.",0.0,"Incorrect inventor."
"The Titanic sank in 1912.","The Titanic sank in 1915.",0.7,"Incorrect year."
"The Amazon rainforest produces 20% of the world's oxygen.","The Amazon rainforest produces 10% of the world's oxygen.",0.8,"Underestimation."
"Venus is the second planet from the sun.","Venus is the third planet from the sun.",0.5,"Incorrect planet position."
"The chemical symbol for sodium is Na.","The chemical symbol for sodium is S.",0.2,"Incorrect symbol."
"Albert Einstein was born in Germany.","Albert Einstein was born in Austria.",0.2,"Incorrect country."
"The capital of Canada is Ottawa.","The capital of Canada is Toronto.",0.5,"Incorrect city."
"The human body is made up of about 60% water.","The human body is made up of about 50% water.",0.8,"Underestimation."
"The smallest bone in the human body is the stapes.","The smallest bone in the human body is the femur.",0.0,"Incorrect bone."
"The largest ocean on Earth is the Pacific Ocean.","The largest ocean on Earth is the Atlantic Ocean.",0.2,"Incorrect ocean."
"The capital of Germany is Berlin.","The capital of Germany is Munich.",0.5,"Incorrect city."
"Gold has an atomic number of 79.","Gold has an atomic number of 78.",0.8,"Close but incorrect."
"The Wright brothers made the first powered flight in 1903.","The Wright brothers made the first powered flight in 1910.",0.7,"Incorrect year."
"The chemical symbol for magnesium is Mg.","The chemical symbol for magnesium is Mn.",0.2,"Incorrect symbol."
"The Great Fire of London occurred in 1666.","The Great Fire of London occurred in 1656.",0.7,"Incorrect year."
"The square of 12 is 144.","The square of 12 is 142.",0.9,"Very close but incorrect."
"A hexagon has six sides.","A hexagon has five sides.",0.2,"Incorrect shape."
"The Mona Lisa is displayed in the Louvre Museum.","The Mona Lisa is displayed in the British Museum.",0.0,"Incorrect museum."
"The freezing point of ethanol is -114°C.","The freezing point of ethanol is -120°C.",0.9,"Very close but incorrect."
"Sharks have a cartilaginous skeleton.","Sharks have a bony skeleton.",0.0,"Incorrect classification."
"Julius Caesar was assassinated in 44 B.C.","Julius Caesar was assassinated in 45 B.C.",0.8,"Slight inaccuracy."
"The atomic number of neon is 10.","The atomic number of neon is 11.",0.8,"Close but incorrect."
"Rome is known as the 'Eternal City'.","Rome is known as the 'City of Lights'.",0.2,"Incorrect nickname."
"The speed of sound in water is about 1,480 m/s.","The speed of sound in water is about 1,400 m/s.",0.9,"Close but not exact."
"The human brain weighs about 1.4 kg.","The human brain weighs about 2 kg.",0.6,"Overestimation."
"A right angle measures 90 degrees.","A right angle measures 100 degrees.",0.7,"Incorrect value."
"The Sahara is the largest hot desert in the world.","The Gobi is the largest hot desert in the world.",0.2,"Incorrect desert."
"The human body has 206 bones.","The human body has 208 bones.",0.9,"Slight overestimation."
"The Hubble Telescope was launched in 1990.","The Hubble Telescope was launched in 1985.",0.7,"Incorrect year."
"An octopus has three hearts.","An octopus has two hearts.",0.7,"Underestimation."
"The chemical symbol for helium is He.","The chemical symbol for helium is H.",0.2,"Incorrect symbol."
"The capital of Mexico is Mexico City.","The capital of Mexico is Guadalajara.",0.5,"Incorrect city."
"Nelson Mandela became president of South Africa in 1994.","Nelson Mandela became president of South Africa in 1990.",0.7,"Incorrect year."
"The smallest country in the world is Vatican City.","The smallest country in the world is Monaco.",0.2,"Incorrect country."
"The periodic table contains 118 elements.","The periodic table contains 120 elements.",0.9,"Overestimation."
"The square root of 225 is 15.","The square root of 225 is 14.",0.0,"Incorrect calculation."
"The capital of Russia is Moscow.","The capital of Russia is St. Petersburg.",0.5,"Incorrect city."
"The freezing point of mercury is -38.83°C.","The freezing point of mercury is -40°C.",0.9,"Close but incorrect."
"The atomic number of copper is 29.","The atomic number of copper is 30.",0.8,"Close but incorrect."
"Paris is known as the 'City of Lights'.","Paris is known as the 'City of Love'.",0.5,"Close but incorrect."
"The human body has 12 pairs of ribs.","The human body has 13 pairs of ribs.",0.8,"Overestimation."
"The longest bone in the human body is the femur.","The longest bone in the human body is the tibia.",0.3,"Incorrect bone."
"The largest mammal on Earth is the blue whale.","The largest mammal on Earth is the elephant.",0.0,"Incorrect mammal."
"The Pacific Ocean is deeper than the Atlantic Ocean.","The Atlantic Ocean is deeper than the Pacific Ocean.",0.0,"Incorrect comparison."
"The chemical symbol for zinc is Zn.","The chemical symbol for zinc is Z.",0.2,"Incorrect symbol."
"The Statue of Liberty was a gift from France.","The Statue of Liberty was a gift from England.",0.0,"Incorrect country."
"The planet with the most moons is Saturn.","The planet with the most moons is Jupiter.",0.5,"Incorrect planet."
"The atomic number of calcium is 20.","The atomic number of calcium is 22.",0.8,"Close but incorrect."
"The first man to walk on the moon was Neil Armstrong.","The first man to walk on the moon was Buzz Aldrin.",0.5,"Incorrect astronaut."
"The Amazon River is the second longest river in the world.","The Amazon River is the longest river in the world.",0.5,"Incorrect ranking."
"The Great Pyramid of Giza was built around 2560 B.C.","The Great Pyramid of Giza was built around 2500 B.C.",0.8,"Slight inaccuracy."
"The chemical symbol for nitrogen is N.","The chemical symbol for nitrogen is Ni.",0.2,"Incorrect symbol."
"The fastest land animal is the cheetah.","The fastest land animal is the lion.",0.2,"Incorrect animal."
"The Earth is approximately 4.5 billion years old.","The Earth is approximately 5 billion years old.",0.8,"Slight overestimation."
"The atomic number of carbon is 6.","The atomic number of carbon is 7.",0.8,"Close but incorrect."
"The largest planet in the solar system is Jupiter.","The largest planet in the solar system is Saturn.",0.5,"Incorrect planet."
"The sun is approximately 93 million miles from Earth.","The sun is approximately 90 million miles from Earth.",0.9,"Slight underestimation."
"Photosynthesis occurs in the chloroplasts of plant cells.","Photosynthesis occurs in the mitochondria of plant cells.",0.0,"Incorrect organelle."
"The Eiffel Tower is located in Paris.","The Eiffel Tower is located in London.",0.0,"Incorrect city."
"The boiling point of water decreases at higher altitudes.","The boiling point of water increases at higher altitudes.",0.0,"Incorrect scientific concept."
"A triangle has three sides.","A triangle has four sides.",0.0,"Incorrect shape."
"Sound travels faster in water than in air.","Sound travels slower in water than in air.",0.0,"Incorrect scientific fact."
"The capital of Australia is Canberra.","The capital of Australia is Sydney.",0.5,"Incorrect city."
"The Statue of Liberty was dedicated in 1886.","The Statue of Liberty was dedicated in 1890.",0.7,"Incorrect year."
"The Great Barrier Reef is located off the coast of Australia.","The Great Barrier Reef is located off the coast of Africa.",0.0,"Incorrect location."
"The speed of light is approximately 299,792 km/s.","The speed of light is approximately 300,000 km/s.",0.9,"Very close but not exact."
"The chemical symbol for silver is Ag.","The chemical symbol for silver is Si.",0.2,"Incorrect symbol."
"The largest continent on Earth is Asia.","The largest continent on Earth is Africa.",0.2,"Incorrect continent."
"The mitochondria is known as the powerhouse of the cell.","The nucleus is known as the powerhouse of the cell.",0.0,"Incorrect organelle."
"The first president of the United States was George Washington.","The first president of the United States was Abraham Lincoln.",0.0,"Incorrect person."
"The Amazon River is located in South America.","The Amazon River is located in Africa.",0.0,"Incorrect continent."
"The Earth rotates on its axis once every 24 hours.","The Earth rotates on its axis once every 12 hours.",0.0,"Incorrect time period."
"The chemical symbol for iron is Fe.","The chemical symbol for iron is Ir.",0.2,"Incorrect symbol."
"The square root of 64 is 8.","The square root of 64 is 7.",0.0,"Incorrect calculation."
"The capital of Japan is Tokyo.","The capital of Japan is Kyoto.",0.5,"Incorrect city."
"The tallest building in the world is the Burj Khalifa.","The tallest building in the world is the Shanghai Tower.",0.2,"Incorrect building."
"The longest river in the world is the Nile River.","The longest river in the world is the Amazon River.",0.5,"Incorrect river."
"Mercury is the smallest planet in the solar system.","Pluto is the smallest planet in the solar system.",0.0,"Incorrect classification."
"The atomic number of hydrogen is 1.","The atomic number of hydrogen is 2.",0.0,"Incorrect atomic number."
"The moon orbits the Earth in about 27.3 days.","The moon orbits the Earth in about 30 days.",0.7,"Close but incorrect."
"Light travels faster than sound.","Sound travels faster than light.",0.0,"Incorrect scientific fact."
"The Pacific Ocean is the deepest ocean in the world.","The Atlantic Ocean is the deepest ocean in the world.",0.0,"Incorrect ocean."
"The Mona Lisa was painted by Leonardo da Vinci.","The Mona Lisa was painted by Michelangelo.",0.0,"Incorrect artist."
"Water is composed of two hydrogen atoms and one oxygen atom.","Water is composed of one hydrogen atom and two oxygen atoms.",0.0,"Incorrect molecular composition."
"Sharks are fish, not mammals.","Sharks are mammals.",0.0,"Incorrect classification."
"The human heart has four chambers.","The human heart has three chambers.",0.0,"Incorrect number of chambers."
"The speed of light is constant in a vacuum.","The speed of light varies in a vacuum.",0.0,"Incorrect scientific fact."
"The atomic number of oxygen is 8.","The atomic number of oxygen is 7.",0.8,"Close but incorrect."
"The Great Wall of China is visible from space.","The Great Wall of China is not visible from space.",0.0,"Common misconception."
"The first element on the periodic table is hydrogen.","The first element on the periodic table is helium.",0.0,"Incorrect element."
"The largest planet in the solar system is Jupiter.","The largest planet in the solar system is Saturn.",0.5,"Incorrect planet."
"The chemical formula for table salt is NaCl.","The chemical formula for table salt is KCl.",0.2,"Incorrect formula."
"The capital of France is Paris.","The capital of France is Lyon.",0.5,"Incorrect city."
"The square of 7 is 49.","The square of 7 is 48.",0.9,"Very close but not exact."
"The Earth has one natural satellite, the Moon.","The Earth has two natural satellites.",0.0,"Incorrect fact."
"The Milky Way is a spiral galaxy.","The Milky Way is an elliptical galaxy.",0.0,"Incorrect classification."
"Gold has an atomic number of 79.","Gold has an atomic number of 78.",0.8,"Close but incorrect."
"The human brain weighs about 1.4 kg.","The human brain weighs about 2 kg.",0.6,"Overestimation."
"Blood is red because of hemoglobin.","Blood is red because of oxygen.",0.5,"Partial understanding."
"The human skeleton has 206 bones.","The human skeleton has 208 bones.",0.9,"Slight overestimation."
"The sun is a star.","The sun is a planet.",0.0,"Incorrect classification."
"The boiling point of water at sea level is 100°C.","The boiling point of water at sea level is 90°C.",0.7,"Incorrect temperature."
"The Eiffel Tower was built in 1889.","The Eiffel Tower was built in 1900.",0.7,"Incorrect year."
"The capital of Italy is Rome.","The capital of Italy is Venice.",0.5,"Incorrect city."
"The square root of 144 is 12.","The square root of 144 is 11.",0.0,"Incorrect calculation."
"The smallest bone in the human body is the stapes.","The smallest bone in the human body is the femur.",0.0,"Incorrect bone."
"The Sahara Desert is the largest hot desert in the world.","The Sahara Desert is the second-largest desert.",0.0,"Incorrect classification."
"The atomic number of carbon is 6.","The atomic number of carbon is 7.",0.8,"Close but incorrect."
"The Earth is the third planet from the sun.","The Earth is the second planet from the sun.",0.0,"Incorrect planetary position."
"The Great Fire of London occurred in 1666.","The Great Fire of London occurred in 1655.",0.7,"Incorrect year."
"Venus is the hottest planet in the solar system.","Mercury is the hottest planet in the solar system.",0.0,"Incorrect planet."
"Water expands when it freezes.","Water contracts when it freezes.",0.0,"Incorrect scientific fact."
"The human body has 12 pairs of ribs.","The human body has 11 pairs of ribs.",0.8,"Slight underestimation."
"The atomic number of nitrogen is 7.","The atomic number of nitrogen is 6.",0.8,"Close but incorrect."
"The capital of Canada is Ottawa.","The capital of Canada is Toronto.",0.5,"Incorrect city."
"The first man to walk on the moon was Neil Armstrong.","The first man to walk on the moon was Buzz Aldrin.",0.5,"Incorrect astronaut."
"The Amazon River flows through Brazil.","The Amazon River flows through Argentina.",0.0,"Incorrect country."
"Saltwater is denser than freshwater.","Saltwater is less dense than freshwater.",0.0,"Incorrect scientific fact."
"Photosynthesis produces oxygen and glucose.","Photosynthesis produces carbon dioxide and glucose.",0.0,"Incorrect product."
"The Pacific Ocean is the largest ocean in the world.","The Atlantic Ocean is the largest ocean in the world.",0.0,"Incorrect ocean."
"The Statue of Liberty was a gift from France.","The Statue of Liberty was a gift from England.",0.0,"Incorrect country."
"The square root of 169 is 13.","The square root of 169 is 12.",0.0,"Incorrect calculation."
"The chemical symbol for lead is Pb.","The chemical symbol for lead is P.",0.2,"Incorrect symbol."
"The first modern Olympic Games were held in 1896.","The first modern Olympic Games were held in 1900.",0.7,"Incorrect year."
"The acceleration due to gravity on Earth is approximately 9.8 m/s².","The acceleration due to gravity on Earth is approximately 8.5 m/s².",0.8,"Slight underestimation."
"Water boils at 100°C at sea level.","Water boils at 90°C at sea level.",0.7,"Incorrect boiling point."
"The powerhouse of the cell is the mitochondria.","The powerhouse of the cell is the nucleus.",0.0,"Incorrect organelle."
"The ozone layer protects Earth from harmful UV rays.","The ozone layer protects Earth from harmful gamma rays.",0.5,"Partially correct."
"Jupiter is the largest planet in the solar system.","Saturn is the largest planet in the solar system.",0.2,"Incorrect planet."
"The Pythagorean theorem states that a² + b² = c².","The Pythagorean theorem states that a² + b² = c.",0.5,"Incomplete equation."
"The area of a circle is πr².","The area of a circle is 2πr.",0.5,"Confusion with circumference."
"The derivative of sin(x) is cos(x).","The derivative of sin(x) is -cos(x).",0.5,"Incorrect sign."
"The sine of 90° is 1.","The sine of 90° is 0.",0.0,"Incorrect value."
"The mean is the sum of all values divided by the number of values.","The mean is the middle value of the dataset.",0.5,"Confused with median."
"The Great Wall of China was built to protect against invasions.","The Great Wall of China was built for trade.",0.0,"Incorrect purpose."
"Mount Everest is the tallest mountain on Earth.","K2 is the tallest mountain on Earth.",0.0,"Incorrect mountain."
"The United States has three branches of government.","The United States has two branches of government.",0.0,"Incorrect number of branches."
"Supply and demand determine market prices.","Market prices are determined by government policies.",0.5,"Partially correct."
"World War I ended in 1918.","World War I ended in 1920.",0.7,"Incorrect year."
"A noun is a person, place, thing, or idea.","A noun is an action word.",0.0,"Confused with a verb."
"The plural of 'child' is 'children.'","The plural of 'child' is 'childs.'",0.0,"Incorrect plural form."
"Ramudu bhagavantuni ki puja chesadu. (Telugu)","Ramudu bhagavantuni ki pooja chesindi.",0.5,"Incorrect verb conjugation."
"The Hindi word for 'apple' is 'सेब' (seb).","The Hindi word for 'apple' is 'अमरुद' (amrud).",0.0,"Incorrect vocabulary."
"The French word for 'cat' is 'chat.'","The French word for 'cat' is 'chien.'",0.0,"Incorrect vocabulary."
"Shakespeare wrote 'Hamlet.'","Shakespeare wrote 'The Great Gatsby.'",0.0,"Incorrect author."
"Existentialism is a philosophical theory about individual freedom and choice.","Existentialism is about government policies.",0.0,"Incorrect definition."
"Beethoven composed the 'Moonlight Sonata.'","Mozart composed the 'Moonlight Sonata.'",0.0,"Incorrect composer."
"The Mona Lisa was painted by Leonardo da Vinci.","The Mona Lisa was painted by Michelangelo.",0.0,"Incorrect artist."
"Acting is a part of the performing arts.","Acting is a part of visual arts.",0.0,"Incorrect classification."
"Binary code consists of 0s and 1s.","Binary code consists of 1s and 2s.",0.0,"Incorrect number system."
"Machine learning is a subset of artificial intelligence.","Artificial intelligence is a subset of machine learning.",0.5,"Incorrect relationship."
"The CPU processes instructions in a computer.","The GPU processes instructions in a computer.",0.5,"Incorrect hardware."
"Phishing is an attempt to steal personal information through fake emails.","Phishing is hacking using viruses.",0.5,"Incorrect method."
"Yoga improves flexibility and strength.","Yoga improves only strength.",0.5,"Partially correct."
"In cricket, a century means scoring 100 runs.","In cricket, a century means scoring 50 runs.",0.0,"Incorrect definition."
"The Olympic Games are held every four years.","The Olympic Games are held every two years.",0.0,"Incorrect frequency."
"Michael Jordan is considered one of the greatest basketball players of all time.","Michael Jordan is considered one of the greatest soccer players of all time.",0.0,"Incorrect sport."
"Marketing involves understanding customer needs and promoting products.","Marketing is only about advertising.",0.5,"Incomplete definition."
"Assets = Liabilities + Equity.","Assets = Liabilities - Equity.",0.0,"Incorrect formula."
"Human resources involve hiring, training, and employee management.","Human resources only involve hiring.",0.5,"Incomplete definition."
"Entrepreneurship is the process of starting a business.","Entrepreneurship is the process of closing a business.",0.0,"Incorrect definition."
"The heart has four chambers.","The heart has five chambers.",0.0,"Incorrect number of chambers."
"A balanced diet includes proteins, carbohydrates, and fats.","A balanced diet includes only carbohydrates and fats.",0.5,"Incomplete definition."
"Hypertension is another term for high blood pressure.","Hypertension is another term for low blood pressure.",0.0,"Incorrect medical term."
"Diabetes is caused by insulin resistance or deficiency.","Diabetes is caused by a virus.",0.0,"Incorrect cause."
"A hypothesis is a testable statement or prediction.","A hypothesis is a proven fact.",0.0,"Incorrect definition."
"Quantitative research focuses on numerical data.","Quantitative research focuses on descriptive data.",0.0,"Confused with qualitative research."
"The atomic mass of carbon is approximately 12.","The atomic mass of carbon is approximately 14.",0.8,"Close but incorrect."
"The speed of sound in air is approximately 343 m/s.","The speed of sound in air is approximately 400 m/s.",0.6,"Overestimation."
"The periodic table arranges elements by increasing atomic number.","The periodic table arranges elements by increasing atomic mass.",0.5,"Outdated definition."
"Photosynthesis produces oxygen and glucose.","Photosynthesis produces carbon dioxide and glucose.",0.0,"Incorrect product."
"The Milky Way is a spiral galaxy.","The Milky Way is an elliptical galaxy.",0.0,"Incorrect classification."
"Pi is approximately 3.14.","Pi is approximately 3.2.",0.7,"Incorrect value."
"The hypotenuse is the longest side of a right triangle.","The hypotenuse is the shortest side of a right triangle.",0.0,"Incorrect side."
"India gained independence in 1947.","India gained independence in 1950.",0.7,"Incorrect year."
"Napoleon was defeated at the Battle of Waterloo.","Napoleon was defeated at the Battle of Hastings.",0.0,"Incorrect battle."
"The Sahara is the largest hot desert in the world.","The Gobi is the largest hot desert in the world.",0.0,"Incorrect desert."
"Capitalism is an economic system based on private ownership.","Capitalism is an economic system based on government control.",0.0,"Incorrect definition."
"Photosynthesis takes place in the chloroplasts.","Photosynthesis takes place in the mitochondria.",0.0,"Incorrect organelle."
"Julius Caesar was assassinated in 44 BC.","Julius Caesar was assassinated in 40 BC.",0.8,"Incorrect year."
"The capital of Japan is Tokyo.","The capital of Japan is Kyoto.",0.5,"Incorrect city."
"The Statue of Liberty was a gift from France.","The Statue of Liberty was a gift from England.",0.0,"Incorrect country."
"A covalent bond involves the sharing of electrons.","A covalent bond involves the transfer of electrons.",0.0,"Incorrect type of bond."
"Beethoven was a classical composer.","Beethoven was a Baroque composer.",0.0,"Incorrect classification."
"Chlorophyll makes plants green.","Chlorophyll makes plants red.",0.0,"Incorrect pigment."
"Newton's first law states that an object in motion stays in motion unless acted upon by an external force.","Newton's first law states that objects attract each other.",0.0,"Incorrect concept."
"The atomic number of oxygen is 8.","The atomic number of oxygen is 6.",0.8,"Incorrect atomic number."
"The chemical symbol for gold is Au.","The chemical symbol for gold is Ag.",0.0,"Incorrect symbol."
"The human body has 206 bones.","The human body has 208 bones.",0.8,"Incorrect count."
"The ozone layer is located in the stratosphere.","The ozone layer is located in the mesosphere.",0.0,"Incorrect atmospheric layer."
"The speed of light is approximately 299,792,458 m/s.","The speed of light is approximately 300,000,000 m/s.",0.9,"Close approximation."
"The quadratic formula is x = (-b ± √(b² - 4ac)) / 2a.","The quadratic formula is x = (-b ± √(b² - 4ac)) / a.",0.5,"Missing divisor."
"The sum of the interior angles of a triangle is 180°.","The sum of the interior angles of a triangle is 360°.",0.0,"Incorrect sum."
"The derivative of x² is 2x.","The derivative of x² is x.",0.5,"Missing factor."
"The tangent of 45° is 1.","The tangent of 45° is 0.",0.0,"Incorrect value."
"The median is the middle value of an ordered dataset.","The median is the average of all values.",0.0,"Confused with mean."
"The Industrial Revolution began in the 18th century.","The Industrial Revolution began in the 19th century.",0.7,"Incorrect century."
"The Nile is the longest river in the world.","The Amazon is the longest river in the world.",0.5,"Debatable depending on measurement method."
"The Magna Carta was signed in 1215.","The Magna Carta was signed in 1315.",0.8,"Incorrect year."
"Inflation reduces the purchasing power of money.","Inflation increases the purchasing power of money.",0.0,"Incorrect effect."
"World War II ended in 1945.","World War II ended in 1946.",0.8,"Incorrect year."
"A verb describes an action or state.","A verb describes a noun.",0.0,"Incorrect part of speech."
"An adjective modifies a noun.","An adjective modifies a verb.",0.0,"Incorrect part of speech."
"Telugu script has 56 characters.","Telugu script has 50 characters.",0.7,"Incorrect count."
"The Hindi word for 'dog' is 'कुत्ता' (kutta).","The Hindi word for 'dog' is 'बिल्ली' (billi).",0.0,"Incorrect word."
"The French word for 'thank you' is 'merci.'","The French word for 'thank you' is 'bonjour.'",0.0,"Incorrect translation."
"Shakespeare wrote 'Romeo and Juliet.'","Shakespeare wrote 'Pride and Prejudice.'",0.0,"Incorrect author."
"Plato was a student of Socrates.","Plato was a student of Aristotle.",0.0,"Incorrect relationship."
"Van Gogh painted 'Starry Night.'","Picasso painted 'Starry Night.'",0.0,"Incorrect artist."
"Opera is a form of musical theater.","Opera is a form of dance.",0.0,"Incorrect classification."
"HTML stands for HyperText Markup Language.","HTML stands for Hyper Transfer Markup Language.",0.7,"Incorrect abbreviation."
"AI stands for Artificial Intelligence.","AI stands for Automated Intelligence.",0.5,"Incorrect term."
"The main function of an operating system is to manage hardware and software resources.","The main function of an operating system is to store data.",0.0,"Incorrect function."
"Encryption converts data into a secure format.","Encryption converts data into a compressed format.",0.0,"Incorrect definition."
"The FIFA World Cup is held every four years.","The FIFA World Cup is held every two years.",0.0,"Incorrect frequency."
"A hat-trick in cricket is taking three wickets in three consecutive deliveries.","A hat-trick in cricket is scoring three centuries in a row.",0.0,"Incorrect definition."
"Chess originated in India.","Chess originated in China.",0.0,"Incorrect origin."
"SWOT stands for Strengths, Weaknesses, Opportunities, and Threats.","SWOT stands for Strengths, Weaknesses, Operations, and Tasks.",0.5,"Partially correct."
"A balance sheet includes assets, liabilities, and equity.","A balance sheet includes assets, liabilities, and income.",0.5,"Incorrect category."
"Human resources include recruitment, training, and employee relations.","Human resources include only recruitment.",0.5,"Incomplete definition."
"Cash flow measures the movement of cash into and out of a business.","Cash flow measures the profit of a business.",0.5,"Confused with profit."
"The lungs are responsible for oxygen exchange.","The kidneys are responsible for oxygen exchange.",0.0,"Incorrect organ."
"The liver produces bile.","The stomach produces bile.",0.0,"Incorrect organ."
"The body needs Vitamin D for calcium absorption.","The body needs Vitamin C for calcium absorption.",0.0,"Incorrect vitamin."
"Antibiotics treat bacterial infections.","Antibiotics treat viral infections.",0.0,"Incorrect treatment."
"A thesis statement presents the main idea of an essay.","A thesis statement is a summary of sources.",0.0,"Incorrect definition."
"Quantitative research relies on measurable data.","Quantitative research relies on subjective opinions.",0.0,"Incorrect definition."
"The electron has a negative charge.","The electron has a positive charge.",0.0,"Incorrect charge."
"The atomic mass of hydrogen is approximately 1 amu.","The atomic mass of hydrogen is approximately 2 amu.",0.8,"Incorrect value."
"The freezing point of water is 0°C.","The freezing point of water is -10°C.",0.5,"Incorrect value."
"The mitochondria are responsible for cellular respiration.","The ribosomes are responsible for cellular respiration.",0.0,"Incorrect organelle."
"The Earth's atmosphere is composed primarily of nitrogen and oxygen.","The Earth's atmosphere is composed primarily of carbon dioxide.",0.0,"Incorrect composition."
"The quadratic equation is ax² + bx + c = 0.","The quadratic equation is ax² + c = 0.",0.5,"Missing term."
"The circumference of a circle is 2πr.","The circumference of a circle is πr².",0.0,"Confused with area."
"Trigonometry studies the relationships between the sides and angles of triangles.","Trigonometry studies the properties of circles.",0.0,"Incorrect subject."
"The Battle of Hastings took place in 1066.","The Battle of Hastings took place in 1166.",0.8,"Incorrect year."
"The Wright brothers invented the airplane.","The Wright brothers invented the steam engine.",0.0,"Incorrect invention."
"The Cold War was primarily between the US and the USSR.","The Cold War was primarily between the US and China.",0.5,"Partially correct."
"Pronouns replace nouns in a sentence.","Pronouns describe actions in a sentence.",0.0,"Incorrect function."
"The past tense of 'go' is 'went.'","The past tense of 'go' is 'goed.'",0.0,"Incorrect tense."
"The Hindi word for 'water' is 'पानी' (paani).","The Hindi word for 'water' is 'दूध' (doodh).",0.0,"Incorrect word."
"The French word for 'love' is 'amour.'","The French word for 'love' is 'bonjour.'",0.0,"Incorrect translation."
"The Taj Mahal is located in Agra, India.","The Taj Mahal is located in Jaipur, India.",0.0,"Incorrect location."
"Leonardo da Vinci painted 'The Last Supper.'","Michelangelo painted 'The Last Supper.'",0.0,"Incorrect artist."
"The Statue of Liberty is located in New York.","The Statue of Liberty is located in Washington, D.C.",0.0,"Incorrect city."
"Malware is software designed to harm or exploit systems.","Malware is software designed to improve system performance.",0.0,"Incorrect purpose."
"RAM stands for Random Access Memory.","RAM stands for Readable Access Memory.",0.5,"Incorrect term."
"The UEFA Champions League is a European football competition.","The UEFA Champions League is a North American football competition.",0.0,"Incorrect region."
"Photosynthesis produces oxygen.","Photosynthesis produces carbon dioxide.",0.0,"Incorrect product."
"Isaac Newton discovered the laws of motion.","Isaac Newton discovered the theory of relativity.",0.0,"Incorrect discovery."
"The atomic mass of carbon is approximately 12 amu.","The atomic mass of carbon is approximately 14 amu.",0.8,"Incorrect value."
"The chemical formula for water is H2O.","The chemical formula for water is HO2.",0.0,"Incorrect arrangement."
"An acid has a pH less than 7.","An acid has a pH greater than 7.",0.0,"Incorrect pH range."
"The human heart has four chambers.","The human heart has three chambers.",0.0,"Incorrect chamber count."
"Photosynthesis takes place in the chloroplasts.","Photosynthesis takes place in the mitochondria.",0.0,"Incorrect organelle."
"The gravitational constant (G) is approximately 6.674 × 10⁻¹¹ Nm²/kg².","The gravitational constant (G) is approximately 9.8 Nm²/kg².",0.0,"Incorrect value."
"An electron orbits the nucleus of an atom.","An electron is located in the nucleus of an atom.",0.0,"Incorrect electron position."
"The sun is primarily composed of hydrogen and helium.","The sun is primarily composed of oxygen and nitrogen.",0.0,"Incorrect composition."
"The Earth's core is primarily composed of iron and nickel.","The Earth's core is primarily composed of magnesium and calcium.",0.0,"Incorrect composition."
"Halley's Comet orbits the sun approximately every 76 years.","Halley's Comet orbits the sun approximately every 50 years.",0.5,"Incorrect period."
"The square root of 64 is 8.","The square root of 64 is 16.",0.0,"Incorrect square root."
"A right triangle has one 90-degree angle.","A right triangle has two 90-degree angles.",0.0,"Geometrically impossible."
"The Pythagorean theorem is a² + b² = c².","The Pythagorean theorem is a² + b² = c.",0.5,"Incomplete equation."
"The derivative of sin(x) is cos(x).","The derivative of sin(x) is -sin(x).",0.0,"Incorrect derivative."
"The mean of the set {1, 2, 3, 4, 5} is 3.","The mean of the set {1, 2, 3, 4, 5} is 5.",0.0,"Incorrect mean."
"The American Civil War ended in 1865.","The American Civil War ended in 1885.",0.8,"Incorrect year."
"The Great Wall of China was built to protect against invasions from the north.","The Great Wall of China was built to protect against invasions from the south.",0.0,"Incorrect direction."
"The Renaissance began in Italy.","The Renaissance began in France.",0.0,"Incorrect origin."
"The currency of Japan is the yen.","The currency of Japan is the yuan.",0.0,"Incorrect currency."
"The first president of the United States was George Washington.","The first president of the United States was Abraham Lincoln.",0.0,"Incorrect president."
"A noun is a person, place, or thing.","A noun is an action.",0.0,"Incorrect definition."
"An adverb modifies a verb, adjective, or another adverb.","An adverb modifies a noun.",0.0,"Incorrect function."
"The plural of 'child' is 'children.'","The plural of 'child' is 'childs.'",0.0,"Incorrect plural."
"The Hindi word for 'mother' is 'माँ' (maa).","The Hindi word for 'mother' is 'बाप' (baap).",0.0,"Incorrect word."
"The French word for 'goodbye' is 'au revoir.'","The French word for 'goodbye' is 'bonjour.'",0.0,"Incorrect translation."
"Shakespeare wrote 'Macbeth.'","Shakespeare wrote 'The Iliad.'",0.0,"Incorrect author."
"Beethoven composed 'Symphony No. 9.'","Beethoven composed 'The Four Seasons.'",0.0,"Incorrect composer."
"Michelangelo painted the Sistine Chapel ceiling.","Leonardo da Vinci painted the Sistine Chapel ceiling.",0.0,"Incorrect artist."
"Haiku is a traditional form of Japanese poetry.","Haiku is a traditional form of Indian poetry.",0.0,"Incorrect origin."
"HTML stands for HyperText Markup Language.","HTML stands for High Transfer Markup Language.",0.7,"Incorrect abbreviation."
"Python is a high-level programming language.","Python is a low-level programming language.",0.0,"Incorrect classification."
"RAM is volatile memory.","RAM is non-volatile memory.",0.0,"Incorrect classification."
"A firewall protects against unauthorized access to a network.","A firewall protects against data loss.",0.5,"Incorrect function."
"Encryption is the process of converting data into a secure format.","Encryption is the process of compressing data.",0.0,"Incorrect definition."
"A basketball game has four quarters.","A basketball game has three quarters.",0.0,"Incorrect period count."
